,0
0,0
1,12
2,14
3,16
4,23
5,25
6,29
7,33
8,39
9,41
10,49
11,50
12,51
13,52
14,58
15,59
16,61
17,63
18,67
19,69
20,70
21,73
22,77
23,80
24,81
25,83
26,87
27,89
28,90
29,91
30,92
31,96
32,98
33,99
34,101
35,102
36,103
37,104
38,105
39,108
40,111
41,114
42,116
43,117
44,118
45,123
46,125
47,131
48,134
49,136
50,137
51,139
52,140
53,143
54,144
55,147
56,151
57,152
58,154
59,157
60,158
61,160
62,161
63,166
64,167
65,169
66,172
67,175
68,176
69,180
70,181
71,183
72,186
73,189
74,191
75,193
76,194
77,197
78,200
79,202
80,207
81,212
82,213
83,215
84,216
85,221
86,222
87,223
88,224
89,227
90,231
91,234
92,237
93,246
94,256
95,259
96,260
97,262
98,272
99,275
100,277
101,278
102,280
103,282
104,287
105,288
106,291
107,294
108,298
109,304
110,306
111,307
112,308
113,310
114,311
115,313
116,320
117,323
118,328
119,332
120,338
121,340
122,342
123,346
124,349
125,354
126,355
127,356
128,381
129,387
130,388
131,390
132,394
133,395
134,397
135,398
136,399
137,400
138,403
139,405
140,407
141,409
142,413
143,414
144,415
145,417
146,419
147,421
148,422
149,424
150,425
151,427
152,428
153,429
154,430
155,436
156,439
157,440
158,442
159,443
160,446
161,447
162,450
163,455
164,459
165,464
166,465
167,466
168,472
169,473
170,475
171,479
172,481
173,494
174,495
175,499
176,501
177,502
178,511
179,512
180,515
181,516
182,517
183,521
184,522
185,527
186,531
187,534
188,535
189,544
190,545
191,551
192,552
193,553
194,555
195,556
196,564
197,565
198,568
199,570
200,575
201,577
202,583
203,586
204,588
205,593
206,595
207,596
208,601
209,608
210,613
211,624
212,625
213,631
214,634
215,635
216,636
217,637
218,638
219,640
220,641
221,643
222,644
223,658
224,661
225,662
226,665
227,666
228,667
229,670
230,674
231,675
232,676
233,677
234,679
235,680
236,681
237,682
238,684
239,685
240,689
241,691
242,695
243,697
244,707
245,709
246,710
247,717
248,719
249,720
250,729
251,730
252,736
253,742
254,748
255,749
256,750
257,751
258,756
259,757
260,762
261,774
262,781
263,783
264,784
265,788
266,789
267,795
268,797
269,799
270,812
271,818
272,823
273,825
274,827
275,830
276,832
277,834
278,836
279,839
280,844
281,846
282,847
283,849
284,852
285,856
286,858
287,862
288,863
289,864
290,867
291,868
292,871
293,876
294,878
295,879
296,882
297,887
298,892
299,895
300,896
301,897
302,898
303,902
304,905
305,906
306,907
307,909
308,911
309,913
310,915
311,920
312,922
313,923
314,929
315,930
316,932
317,933
318,936
319,941
320,943
321,944
322,946
323,947
324,950
325,951
326,953
327,954
328,957
329,960
330,961
331,962
332,963
333,966
334,967
335,972
336,979
337,988
338,993
339,995
340,998
341,1003
342,1004
343,1009
344,1015
345,1016
346,1021
347,1022
348,1023
349,1029
350,1031
351,1033
352,1034
353,1035
354,1037
355,1039
356,1040
357,1042
358,1045
359,1047
360,1050
361,1051
362,1053
363,1055
364,1056
365,1058
366,1060
367,1061
368,1066
369,1075
370,1087
371,1090
372,1095
373,1096
374,1098
375,1099
376,1100
377,1114
378,1118
379,1124
380,1125
381,1132
382,1135
383,1139
384,1147
385,1148
386,1151
387,1154
388,1155
389,1163
390,1171
391,1172
392,1173
393,1174
394,1179
395,1181
396,1182
397,1183
398,1184
399,1188
400,1190
401,1192
402,1193
403,1194
404,1203
405,1204
406,1219
407,1222
408,1225
409,1236
410,1237
411,1241
412,1242
413,1244
414,1250
415,1251
416,1252
417,1253
418,1254
419,1265
420,1267
421,1268
422,1271
423,1273
