,0
0,4799
1,4606
2,4538
3,4356
4,4292
5,4239
6,3966
7,3891
8,4783
9,4162
10,3986
11,3802
12,4051
13,3634
14,4436
15,3498
16,4198
17,3474
18,4833
19,3457
20,3424
21,3332
22,3204
23,4665
24,3197
25,3288
26,4085
27,3798
28,3205
29,3028
30,3023
31,3962
32,2963
33,3872
34,2889
35,3970
36,2855
37,3217
38,3227
39,3561
40,3432
41,2780
42,4393
43,3854
44,4413
45,2638
46,4605
47,2606
48,2599
49,4347
50,4414
51,4387
52,3723
53,3518
54,3427
55,2598
56,3654
57,4122
58,2549
59,2533
60,3941
61,2510
62,2468
63,4180
64,2457
65,2752
66,2418
67,4509
68,3215
69,3873
70,2321
71,2894
72,2281
73,2600
74,3527
75,2257
76,4039
77,2218
78,2204
79,2437
80,2203
81,2469
82,2146
83,2140
84,4788
85,4192
86,3383
87,2060
88,2052
89,4466
90,4301
91,2013
92,1985
93,4243
94,1896
95,2402
96,2187
97,4659
98,1873
99,4830
100,1828
101,3847
102,4293
103,4634
104,4364
105,4084
106,685
107,1596
108,1818
109,2573
110,1317
111,2374
112,3505
113,151
114,137
115,2319
116,3598
117,3007
118,1222
119,2804
120,23
121,2236
122,419
123,80
124,2794
125,742
126,405
127,2807
128,4391
129,3914
130,717
131,447
132,922
133,2784
134,729
135,3053
136,4828
137,338
138,4421
139,323
140,3206
141,2408
142,1823
143,2343
144,144
145,3477
146,4012
147,3832
148,902
149,216
150,4108
151,116
152,2137
153,4438
154,2291
155,2757
156,3246
157,459
158,4193
159,3087
160,4491
161,1595
162,961
163,1241
164,221
165,534
166,1741
167,400
168,2651
169,1761
170,1688
171,3625
172,1766
173,4629
174,4487
175,4655
176,67
177,4545
178,2513
179,544
180,2959
181,2337
182,2783
183,2422
184,4440
185,2047
186,960
187,575
188,680
189,231
190,2635
191,1252
192,527
193,2865
194,1723
195,4226
196,417
197,2272
198,103
199,1319
200,1100
201,3595
202,1826
203,4128
204,3825
205,1655
206,4477
207,442
208,1542
209,4151
210,2694
211,2330
212,887
213,962
214,495
215,3681
216,3099
217,2153
218,2159
219,911
220,3468
221,2558
222,867
223,2940
224,4342
225,409
226,1763
227,3437
228,3841
229,3898
230,1023
231,2878
232,4677
233,260
234,1355
235,583
236,2427
237,4522
238,1139
239,1760
240,310
241,3452
242,2555
243,1042
244,1184
245,2158
246,403
247,1267
248,882
249,4813
250,1034
251,4457
252,3352
253,3084
254,4054
255,1056
256,2066
257,51
258,181
259,4401
260,1037
261,757
262,3530
263,577
264,906
265,4725
266,1431
267,2476
268,189
269,3818
270,1060
271,2083
272,4020
273,139
274,684
275,522
276,1015
277,2640
278,2151
279,832
280,844
281,140
282,3565
283,1296
284,3463
285,907
286,2334
287,946
288,1573
289,2821
290,3095
291,552
292,2143
293,2199
294,108
295,4439
296,4512
297,3676
298,1357
299,689
300,3682
301,675
302,2127
303,328
304,936
305,4526
306,494
307,3360
308,2633
309,2278
310,788
311,152
312,1576
313,3125
314,3871
315,2965
316,1589
317,4212
318,4004
319,1814
320,2503
321,2848
322,1173
323,407
324,638
325,1021
